DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,22/10/2009,1,0.91, 
DATASET_01_2009_2017_PA,22/10/2009,2,0.9, 
DATASET_01_2009_2017_PA,22/10/2009,3,0.9, 
DATASET_01_2009_2017_PA,22/10/2009,4,0.85, 
DATASET_01_2009_2017_PA,22/10/2009,5,0.76, 
DATASET_01_2009_2017_PA,22/10/2009,6,0.69, 
DATASET_01_2009_2017_PA,22/10/2009,7,0.64, 
DATASET_01_2009_2017_PA,22/10/2009,8,0.64, 
DATASET_01_2009_2017_PA,22/10/2009,9,0.65, 
DATASET_01_2009_2017_PA,22/10/2009,10,0.7, 
DATASET_01_2009_2017_PA,22/10/2009,11,0.7, 
DATASET_01_2009_2017_PA,22/10/2009,12,0.74, 
DATASET_01_2009_2017_PA,22/10/2009,13,0.8, 
DATASET_01_2009_2017_PA,22/10/2009,14,0.85, 
DATASET_01_2009_2017_PA,22/10/2009,15,0.89, 
DATASET_01_2009_2017_PA,22/10/2009,16,0.88, 
DATASET_01_2009_2017_PA,22/10/2009,17,0.86, 
DATASET_01_2009_2017_PA,22/10/2009,18,0.84, 
DATASET_01_2009_2017_PA,22/10/2009,19,0.89, 
DATASET_01_2009_2017_PA,22/10/2009,20,0.95, 
DATASET_01_2009_2017_PA,22/10/2009,21,1, 
DATASET_01_2009_2017_PA,22/10/2009,22,1.06, 
DATASET_01_2009_2017_PA,22/10/2009,23,1.15, 
DATASET_01_2009_2017_PA,22/10/2009,24,1.26, 
DATASET_01_2009_2017_PA,23/10/2009,1,1.26, 
DATASET_01_2009_2017_PA,23/10/2009,2,1.19, 
DATASET_01_2009_2017_PA,23/10/2009,3,1.05, 
DATASET_01_2009_2017_PA,23/10/2009,4,0.91, 
DATASET_01_2009_2017_PA,23/10/2009,5,0.76, 
DATASET_01_2009_2017_PA,23/10/2009,6,0.63, 
DATASET_01_2009_2017_PA,23/10/2009,7,0.49, 
DATASET_01_2009_2017_PA,23/10/2009,8,0.35, 
DATASET_01_2009_2017_PA,23/10/2009,9,0.31, 
DATASET_01_2009_2017_PA,23/10/2009,10,0.3, 
DATASET_01_2009_2017_PA,23/10/2009,11,0.3, 
DATASET_01_2009_2017_PA,23/10/2009,12,0.3, 
DATASET_01_2009_2017_PA,26/10/2009,1,0.53, 
DATASET_01_2009_2017_PA,26/10/2009,2,0.55, 
DATASET_01_2009_2017_PA,26/10/2009,3,0.55, 
DATASET_01_2009_2017_PA,26/10/2009,4,0.51, 
DATASET_01_2009_2017_PA,26/10/2009,5,0.48, 
DATASET_01_2009_2017_PA,26/10/2009,6,0.41, 
DATASET_01_2009_2017_PA,26/10/2009,7,0.35, 
DATASET_01_2009_2017_PA,26/10/2009,8,0.26, 
DATASET_01_2009_2017_PA,26/10/2009,9,0.19, 
DATASET_01_2009_2017_PA,26/10/2009,10,0.18, 
DATASET_01_2009_2017_PA,26/10/2009,11,0.18, 
DATASET_01_2009_2017_PA,26/10/2009,12,0.2, 
DATASET_01_2009_2017_PA,26/10/2009,13,0.25, 
DATASET_01_2009_2017_PA,26/10/2009,14,0.31, 
DATASET_01_2009_2017_PA,26/10/2009,15,0.36, 
DATASET_01_2009_2017_PA,26/10/2009,16,0.43, 
DATASET_01_2009_2017_PA,26/10/2009,17,0.48, 
DATASET_01_2009_2017_PA,26/10/2009,18,0.5, 
DATASET_01_2009_2017_PA,26/10/2009,19,0.56, 
